"Jack and the Warrior Woman", "The First Fight", "Tale of X-49", "Jack and the Hunters"
"Jack and the Warrior Woman", "Jack and the Three Blind Archers", "Samurai vs. Samurai", "Jack and the Baby"
"The Samurai Called Jack", "Jack and the Rave", "The First Fight", "Jack and the Haunted House", "Jack, The Woolies, and the Chritchellites"
"Jack and the Smackback", "Jack and the Gangsters", "The Birth of Evil, Pt 2", "Jack and the Hunters", "The Princess and the Bounty Hunters"
"Jack, The Woolies, and the Chritchellites", "Jack Is Naked", "Jack and the Scotsman II", "Jack and the Traveling Creatures", "The Scotsman Saves Jack, Pt 1", "Jack and the Rave"
"Jack and the Ultra-robots", "Young Jack in Africa", "The Samurai Called Jack", "Jack and the Zombies", "Jack vs. Aku"
"Jack and the Haunted House", "Jack and the Rave", "Seasons of Death", "Jack and the Smackback", "Jack and the Baby", "Jack and the Smackback"
"Jack and the Haunted House", "Jack's Sandals", "Jack and the Scotsman II", "Tale of X-49", "Jack and the Flying Prince and Princess", "Jack and the Rave"
"Jack, The Woolies, and the Chritchellites", "Jack Is Naked", "Jack Remembers the Past", "Jack in Space", "The First Fight", "Jack, The Woolies, and the Chritchellites"
"Jack and the Haunted House", "Jack and the Zombies", "Jack and the Smackback", "Jack vs. Aku", "The Birth of Evil, Pt 2", "Jack vs. Aku"
"Jack and the Smackback", "Jack Remembers the Past", "Jack Learns to Jump Good", "Jack Tales", "Jack vs. Aku"
"Jack and the Smackback", "Jack and the Scotsman", "Seasons of Death", "Jack and the Monks", "Jack and the Gangsters"
"Jack, The Woolies, and the Chritchellites", "Jack and the Traveling Creatures", "The Samurai Called Jack", "Robo-Samurai vs. Mondo-Bot", "Jack vs Mad Jack", "The Princess and the Bounty Hunters", "Jack and the Swamp Monster"
"Jack, The Woolies, and the Chritchellites", "Jack and the Traveling Creatures", "The Samurai Called Jack", "Robo-Samurai vs. Mondo-Bot", "Jack vs Mad Jack", "The Princess and the Bounty Hunters", "Jack and the Swamp Monster"
"Jack and the Gangsters", "Chicken Jack", "Chicken Jack"
"Jack vs. Demongo, the Soul Collector", "Jack and the Scotsman"
"Jack vs Mad Jack", "Jack and the Hunters", "The First Fight", "Jack and the Traveling Creatures", "Jack and the Gangsters"
"Jack and the Smackback", "Jack and the Monks", "Jack and the Rave", "Jack vs. Aku", "The Samurai Called Jack"
"Jack and the Warrior Woman", "Jack and the Creature", "Aku's Fairy Tales", "Jack, the Monks, and the Ancient Master's Son", "The Samurai Called Jack", "Jack vs Mad Jack", "Jack and the Rave"
"Jack Under the Sea", "Jack Is Naked", "Jack Is Naked", "Jack and the Zombies", "Jack and the Spartans", "Samurai vs. Ninja"
"Jack, The Woolies, and the Chritchellites", "Jack Is Naked", "Jack Remembers the Past", "The Birth of Evil, Pt 2", "The Birth of Evil, Pt 2", "Samurai vs. Samurai"
"The First Fight", "Jack and the Flying Prince and Princess", "Seasons of Death", "Jack in Space", "The Aku Infection"
"The Samurai Called Jack", "Jack and the Haunted House", "Jack vs. Aku", "Jack and the Swamp Monster", "Jack and the Traveling Creatures"
"Jack in Space", "Jack and the Zombies", "Jack and the Lava Monster"
"The Samurai Called Jack", "Jack, The Woolies, and the Chritchellites", "The Good, the Bad, and the Beautiful", "The Birth of Evil, Pt 1", "The Birth of Evil, Pt 2", "Samurai vs. Samurai", "The Scotsman Saves Jack, pt 2"
"Jack and the Three Blind Archers", "Jack and the Lava Monster", "Jack and the Scotsman", "Jack and the Ultra-robots", "The Scotsman Saves Jack, Pt 1", "Chicken Jack", "Jack's Sandals"
"The First Fight", "Jack and the Flying Prince and Princess", "Seasons of Death", "Robo-Samurai vs. Mondo-Bot", "The Aku Infection"
"The Scotsman Saves Jack, Pt 1", "The Scotsman Saves Jack, pt 2"
"The Samurai Called Jack", "Samurai vs. Samurai", "Aku's Fairy Tales", "Chicken Jack"
"The First Fight", "Jack and the Lava Monster", "Jack and the Farting Dragon", "Jack Learns to Jump Good", "Jack, the Monks, and the Ancient Master's Son", "Jack Tales", "Jack, The Woolies, and the Chritchellites"
"The Aku Infection", "Jack in Egypt", "Jack and the Three Blind Archers", "Jack Tales", "Tale of X-49"
"Jack, The Woolies, and the Chritchellites", "The First Fight", "Jack and the Lava Monster", "Jack and the Smackback", "The Aku Infection"
"The First Fight", "Jack and the Flying Prince and Princess", "Jack and the Baby", "Samurai vs. Ninja", "Jack and the Scotsman"
"Jack and the Rave", "Jack and the Gangsters"
"Jack, The Woolies, and the Chritchellites", "Jack and the Gangsters", "Jack Tales", "The Scotsman Saves Jack, pt 2", "Jack vs. Demongo, the Soul Collector", "Jack, The Woolies, and the Chritchellites"
"Jack and the Scotsman II", "Jack Is Naked", "Jack and the Warrior Woman", "The Aku Infection"
"The Good, the Bad, and the Beautiful", "Seasons of Death", "Jack and the Ultra-robots", "Jack Learns to Jump Good", "Jack, the Monks, and the Ancient Master's Son"
"Jack in Space", "Jack's Sandals", "Jack's Sandals"
"The First Fight", "Seasons of Death", "Jack and the Three Blind Archers", "The Beginning", "Robo-Samurai vs. Mondo-Bot", "Jack and the Baby"
"Jack, The Woolies, and the Chritchellites", "Jack and the Spartans", "The Scotsman Saves Jack, Pt 1", "Aku's Fairy Tales", "Jack and the Farting Dragon", "Jack and the Gangsters"
"Jack and the Farting Dragon", "Jack and the Haunted House", "The Birth of Evil, Pt 1", "Jack and the Ultra-robots", "The Samurai Called Jack"
"Jack in Space", "The Birth of Evil, Pt 1", "Jack Under the Sea", "Robo-Samurai vs. Mondo-Bot", "Seasons of Death"
"The Good, the Bad, and the Beautiful", "The Scotsman Saves Jack, pt 2", "Jack in Egypt", "The Good, the Bad, and the Beautiful", "Jack and the Rave"
"The Aku Infection", "The Princess and the Bounty Hunters", "Jack, the Monks, and the Ancient Master's Son", "Jack vs. Aku", "Jack and the Swamp Monster"
"The First Fight", "Aku's Fairy Tales", "The Scotsman Saves Jack, Pt 1", "Jack in Egypt", "Seasons of Death"
"Jack, The Woolies, and the Chritchellites", "The Samurai Called Jack", "Jack Tales", "Jack and the Smackback", "Jack and the Zombies"
"Jack and the Smackback", "Aku's Fairy Tales", "Jack Remembers the Past", "Jack and the Ultra-robots", "Jack and the Haunted House"
"Jack and the Traveling Creatures", "The Scotsman Saves Jack, Pt 1", "Jack Is Naked", "Jack and the Smackback", "Jack and the Lava Monster", "Jack, The Woolies, and the Chritchellites"
"The Samurai Called Jack", "Jack and the Rave", "Jack and the Labyrinth", "Jack vs Mad Jack", "Jack in Space"
"Jack Under the Sea", "Jack and the Traveling Creatures", "Tale of X-49", "The Scotsman Saves Jack, pt 2"
"Jack and the Gangsters", "Jack Is Naked", "The Scotsman Saves Jack, Pt 1", "The Princess and the Bounty Hunters"
"Jack Under the Sea", "The First Fight", "Jack and the Scotsman II", "Jack Remembers the Past"
"Jack and the Lava Monster", "Robo-Samurai vs. Mondo-Bot", "Jack and the Haunted House", "Jack and the Warrior Woman", "Jack and the Baby"
"The Samurai Called Jack", "The Scotsman Saves Jack, pt 2", "Jack Learns to Jump Good", "Jack and the Spartans", "Jack and the Zombies", "Jack and the Baby"
"Jack vs Mad Jack", "Jack and the Baby", "The Beginning", "Jack in Space"
"The First Fight", "Jack vs. Aku", "Young Jack in Africa", "Jack Tales", "The Birth of Evil, Pt 2", "Jack's Sandals"
"Jack and the Haunted House", "Jack's Sandals", "Jack and the Lava Monster", "The Princess and the Bounty Hunters", "The Birth of Evil, Pt 1", "Seasons of Death"
"The Samurai Called Jack", "Samurai vs. Samurai", "Jack and the Farting Dragon", "Jack and the Scotsman", "The Birth of Evil, Pt 2"
"Jack and the Ultra-robots", "Tale of X-49", "Jack and the Scotsman II", "Jack and the Baby", "The Princess and the Bounty Hunters"
"Jack and the Haunted House", "Jack's Sandals", "Jack and the Lava Monster", "The Scotsman Saves Jack, Pt 1", "Jack, The Woolies, and the Chritchellites", "Jack and the Farting Dragon"
"Jack, The Woolies, and the Chritchellites", "Jack Is Naked", "Jack and the Ultra-robots", "Jack Is Naked", "Jack and the Three Blind Archers", "Jack Under the Sea"
"Jack and the Ultra-robots", "Young Jack in Africa", "The Samurai Called Jack", "Jack and the Scotsman II", "Jack and the Warrior Woman"
"Jack and the Smackback", "Jack and the Scotsman", "Jack and the Gangsters", "Jack and the Farting Dragon", "Jack and the Lava Monster"
"Jack vs Mad Jack", "Seasons of Death", "The First Fight", "Jack and the Zombies"
"The Samurai Called Jack", "Jack and the Flying Prince and Princess", "Jack and the Creature", "Jack and the Rave", "Jack vs Mad Jack", "Jack and the Smackback"
"Young Jack in Africa", "Jack and the Zombies", "Jack and the Flying Prince and Princess", "Jack in Space"